Date,Revenue,Orders,Customers,Conversion_Rate,Average_Order_Value
2024-01-01,15000,120,95,3.5,125.00
2024-01-02,16500,135,105,3.8,122.22
2024-01-03,14800,118,90,3.2,125.42
2024-01-04,17200,142,110,4.1,121.13
2024-01-05,15900,128,98,3.6,124.22
2024-01-06,18500,155,120,4.5,119.35
2024-01-07,16200,130,100,3.7,124.62
2024-01-08,19000,160,125,4.8,118.75
2024-01-09,17500,145,112,4.2,120.69
2024-01-10,16800,138,105,3.9,121.74
2024-01-11,15200,122,93,3.4,124.59
2024-01-12,17800,148,115,4.3,120.27
2024-01-13,16500,135,103,3.8,122.22
2024-01-14,18200,152,118,4.4,119.74
2024-01-15,19500,165,130,4.9,118.18
2024-02-01,20000,170,135,5.0,117.65
2024-02-02,21500,182,145,5.5,118.13
2024-02-03,19800,168,128,4.8,117.86
2024-02-04,22000,188,150,5.8,117.02
2024-02-05,20500,175,138,5.2,117.14
2024-02-06,23500,200,160,6.2,117.50
2024-02-07,21000,178,142,5.3,118.00
2024-02-08,24000,205,165,6.5,117.07
2024-02-09,22500,192,152,5.7,117.19
2024-02-10,21800,185,145,5.4,117.84
2024-02-11,20200,172,135,5.1,117.44
2024-02-12,23000,195,155,6.0,117.95
2024-02-13,21500,182,143,5.5,118.13
2024-02-14,23800,202,158,6.3,117.82
2024-02-15,25000,215,170,6.8,116.28
